2024-01-05 13:15:48 404 GET /common/js/plugins/ui/i18n/datepicker-ko.js?t=1698373960 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 142 6967
2024-01-05 13:15:48 404 GET /modules/board/skins/sketchbook5/js/jquery.cookie.js?t=1648432509 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 151 5029
2024-01-05 13:15:48 404 GET /modules/board/skins/sketchbook5/js/jquery.autogrowtextarea.min.js?t=1648432509 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 165 4210
2024-01-05 13:15:48 404 GET /modules/editor/skins/ckeditor/js/xe_textarea.js?t=1698373944 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 147 4608
2024-01-05 13:15:48 404 GET /layouts/BlueChicken/js/jquery.scrollUp.min.js?t=1683453939 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 145 3662
2024-01-05 13:15:48 404 GET /modules/board/skins/sketchbook5/js/jquery.masonry.min.js?t=1648432509 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 156 3940
2024-01-05 13:15:48 404 GET /modules/board/skins/sketchbook5/js/board.js?t=1648432509 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 143 4726
2024-01-05 13:15:48 404 GET /layouts/BlueChicken/js/xe_official.js?t=1683453940 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 137 4019
2024-01-05 13:15:48 404 GET /addons/changealt/js/changetitlealt.js?t=1637625873 HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 137 3219
2024-01-05 13:15:48 404 GET /modules/document/tpl/icons/default/file.gif HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 http://localhost/index 0:0:0:0:0:0:0:1 143 3085
